PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1013.0,3,23.6,22.2,92,16.95,80,3,295.7,344.5,298.6
1000.0,112,23.0,20.2,84,15.14,85,21,296.1,339.9,298.8
983.0,262,22.6,19.0,80,14.27,80,26,297.2,338.7,299.7
964.0,433,22.1,17.6,76,13.33,65,24,298.4,337.4,300.8
934.0,710,21.4,15.4,69,11.92,61,21,300.4,335.6,302.5
925.0,794,20.8,14.8,69,11.57,60,20,300.6,334.8,302.7
889.0,1136,18.2,14.4,78,11.70,50,18,301.3,336.0,303.4
884.0,1184,17.8,14.3,80,11.72,51,18,301.4,336.2,303.5
868.0,1341,17.4,7.4,52,7.49,56,16,302.5,325.2,303.9
853.0,1489,16.2,7.9,58,7.89,60,15,302.8,326.7,304.3
850.0,1519,16.0,8.0,59,7.98,60,15,302.9,327.0,304.4
799.0,2036,12.4,5.9,65,7.35,15,13,304.4,326.8,305.8
790.0,2130,11.7,5.5,66,7.24,30,10,304.7,326.8,306.0
764.0,2410,9.7,4.4,70,6.92,40,7,305.5,326.7,306.8
749.0,2575,8.6,3.8,72,6.74,20,10,306.0,326.7,307.2
725.0,2847,6.7,2.7,76,6.44,35,12,306.7,326.6,307.9
700.0,3140,4.6,1.5,80,6.13,5,16,307.6,326.6,308.7
697.0,3175,4.3,1.4,81,6.12,5,16,307.6,326.6,308.8
669.0,3508,1.8,0.6,92,6.01,13,19,308.4,327.2,309.5
661.0,3605,1.2,0.3,94,5.97,15,20,308.9,327.5,310.0
644.0,3815,0.1,-0.2,98,5.88,355,15,309.8,328.3,310.9
636.0,3915,-0.5,-0.5,100,5.84,356,15,310.3,328.6,311.4
615.0,4184,-1.5,-3.3,88,4.90,359,14,312.1,327.8,313.1
607.0,4288,-1.5,-11.5,46,2.63,0,13,313.3,322.0,313.8
592.0,4487,-2.5,-15.5,36,1.94,2,13,314.4,321.0,314.8
585.0,4581,-2.7,-6.8,73,3.95,3,13,315.2,328.1,316.0
578.0,4677,-3.1,-6.7,76,4.03,4,12,315.8,329.0,316.6
574.0,4731,-3.5,-6.9,77,4.00,5,12,316.0,329.1,316.8
532.0,5326,-7.5,-8.8,90,3.73,335,15,318.2,330.5,318.9
518.0,5535,-8.9,-9.4,96,3.64,5,13,318.9,331.0,319.6
508.0,5688,-9.9,-9.9,100,3.57,346,14,319.4,331.4,320.1
505.0,5733,-10.2,-10.2,100,3.50,340,14,319.6,331.3,320.3
500.0,5810,-10.7,-10.8,99,3.37,345,15,319.9,331.2,320.6
422.0,7094,-19.1,-20.5,89,1.78,345,21,325.1,331.4,325.4
413.0,7254,-20.3,-24.1,72,1.33,345,22,325.5,330.3,325.8
410.0,7308,-20.7,-25.3,67,1.20,345,22,325.7,330.1,325.9
400.0,7490,-22.3,-25.5,75,1.21,345,20,325.9,330.3,326.2
384.0,7789,-23.7,-26.5,78,1.15,0,15,327.9,332.1,328.1
382.0,7827,-23.9,-26.6,78,1.14,358,15,328.1,332.3,328.4
354.0,8367,-28.4,-31.1,78,0.81,330,11,329.3,332.4,329.5
345.0,8549,-29.9,-32.6,77,0.72,340,10,329.7,332.4,329.9
329.0,8886,-32.7,-35.4,77,0.57,40,12,330.4,332.6,330.5
320.0,9083,-34.3,-37.0,76,0.50,15,11,330.8,332.7,330.9
300.0,9540,-38.1,-40.8,76,0.36,25,7,331.6,333.0,331.6
287.0,9844,-40.9,-43.9,73,0.27,30,7,331.8,332.9,331.8
264.0,10408,-45.7,-51.7,51,0.12,38,6,332.8,333.3,332.8
259.0,10535,-46.5,-53.8,43,0.10,40,6,333.4,333.8,333.4
252.0,10717,-47.7,-56.7,35,0.07,48,11,334.3,334.6,334.3
250.0,10770,-48.1,-56.1,39,0.08,50,13,334.4,334.8,334.4
247.0,10848,-48.7,-56.4,41,0.08,45,13,334.6,334.9,334.6
241.0,11006,-50.1,-56.9,44,0.07,10,16,335.0,335.3,335.0
216.0,11709,-55.9,-59.4,65,0.06,335,12,336.6,336.9,336.6
205.0,12045,-58.7,-60.6,79,0.05,335,15,337.3,337.5,337.3
200.0,12200,-59.3,-63.6,57,0.04,335,17,338.7,338.9,338.7
197.0,12294,-60.1,-64.9,53,0.03,339,22,338.9,339.0,338.9
192.0,12455,-59.7,-71.7,19,0.01,347,30,342.0,342.1,342.0
190.0,12520,-59.9,-72.6,18,0.01,350,33,342.7,342.8,342.7
181.0,12822,-60.9,-76.9,10,0.01,338,34,345.9,345.9,345.9
175.0,13030,-62.7,-76.7,14,0.01,330,34,346.3,346.3,346.3
169.0,13245,-62.3,-73.3,22,0.01,327,35,350.4,350.5,350.4
165.0,13393,-62.5,-75.3,16,0.01,325,35,352.6,352.6,352.6
158.0,13660,-62.7,-78.8,10,0.01,300,33,356.5,356.5,356.5
154.0,13817,-62.9,-80.9,7,0.00,298,28,358.8,358.8,358.8
150.0,13980,-61.1,-84.1,3,0.00,295,23,364.6,364.6,364.6
149.0,14022,-60.9,-84.0,3,0.00,295,23,365.7,365.7,365.7
145.0,14191,-59.9,-83.8,3,0.00,305,22,370.2,370.2,370.2
144.0,14234,-59.7,-83.7,3,0.00,306,22,371.3,371.4,371.3
123.0,15214,-60.7,-85.7,2,0.00,328,30,386.6,386.6,386.6
121.0,15315,-61.2,-85.9,2,0.00,330,31,387.5,387.5,387.5
114.0,15679,-63.0,-86.5,3,0.00,315,35,390.8,390.8,390.8
108.0,16010,-64.7,-87.0,3,0.00,305,22,393.8,393.8,393.8
101.0,16420,-66.7,-87.7,4,0.00,320,19,397.5,397.5,397.5
100.0,16480,-67.1,-87.1,4,0.00,320,19,397.8,397.8,397.8
98.0,16602,-68.1,-88.1,4,0.00,315,24,398.3,398.3,398.3
97.5,16633,-68.3,-88.3,4,0.00,315,24,398.4,398.4,398.4
89.0,17182,-67.9,-88.2,4,0.00,295,22,409.7,409.7,409.7
86.0,17389,-67.8,-88.2,4,0.00,315,17,414.0,414.0,414.0
83.0,17603,-67.6,-88.1,4,0.00,265,11,418.5,418.5,418.5
79.0,17901,-67.4,-88.0,4,0.00,75,1,424.9,424.9,424.9
75.0,18214,-67.2,-88.0,4,0.00,355,10,431.7,431.7,431.7
73.0,18377,-67.1,-88.0,4,0.00,325,10,435.3,435.3,435.3
70.0,18630,-66.9,-87.9,4,0.00,5,10,440.9,440.9,440.9
67.0,18897,-66.5,-88.1,3,0.00,55,11,447.3,447.3,447.3
63.0,19272,-66.0,-88.3,3,0.00,70,16,456.3,456.4,456.3
59.0,19672,-65.5,-88.5,3,0.00,60,23,466.2,466.2,466.2
54.0,20211,-64.7,-88.8,2,0.00,45,4,479.8,479.9,479.8
52.0,20441,-64.4,-89.0,2,0.00,70,13,485.8,485.8,485.8
51.0,20559,-64.3,-89.0,2,0.00,60,18,488.9,488.9,488.9
50.0,20680,-64.1,-89.1,2,0.00,50,12,492.0,492.0,492.0
49.0,20804,-63.9,-89.0,2,0.00,90,7,495.4,495.5,495.5
47.0,21061,-63.3,-88.9,2,0.00,95,12,502.6,502.7,502.6
46.0,21193,-63.1,-88.9,2,0.00,80,18,506.4,506.4,506.4
45.0,21329,-62.8,-88.8,2,0.00,110,21,510.2,510.3,510.2
42.0,21754,-61.9,-88.6,2,0.00,85,27,522.5,522.5,522.5
41.0,21902,-61.6,-88.5,2,0.00,80,25,526.9,526.9,526.9
40.6,21962,-61.5,-88.5,2,0.00,528.7,528.7,528.7,,
